Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,Battery_Cell,BATTERY-SMD_18650-1S-L77.1-W20.7-1,109.805003,-91.198406,0.0,bottom
C1,1u F,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,97.3,-125.8,180.0,top
C10,10u F,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,118.75,-126.25,-90.0,top
C11,100n F,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,99.06,-97.58,0.0,top
C12,6.8p F,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,109.0,-104.75,90.0,top
C13,6.8pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,113.5,-104.75,-90.0,top
C14,100n F,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,107.1175,-58.86,0.0,top
C15,100n F,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,105.38,-47.8975,-90.0,top
C16,200p F,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,109.95,-111.05,180.0,top
C17,1u F,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,110.0,-117.75,180.0,top
C18,200p F,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,118.35,-112.7,90.0,top
C19,100n F,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,104.33,-111.27,90.0,top
C2,2.2u F,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,106.5,-122.0,-90.0,top
C20,1u F,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,115.0,-117.75,0.0,top
C3,2.2u F,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,106.11,-102.5175,-90.0,top
C4,100n F,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,119.2575,-103.73,0.0,top
C5,100n F,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,122.3225,-94.01,0.0,top
C6,100n F,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,110.0375,-87.16,0.0,top
C7,100n F,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,122.3175,-91.84,0.0,top
C8,100n F,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,103.4625,-99.5,180.0,top
C9,22u F,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,118.5,-122.0,-90.0,top
D1,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,128.5,-113.0,-90.0,top
D2,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,128.5,-103.5,-90.0,top
D3,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,128.5,-96.0,-90.0,top
IC1,SCD41-D-R2,SCD41DR2,112.75,-51.25,0.0,top
IC2,SWITCH_TPS22917DBVR,SOT95P280X145-6N,109.75,-114.5,180.0,top
IC3,SWITCH_TPS22917DBVR,SOT95P280X145-6N,115.0,-113.75,90.0,top
J1,Conn_1x4,CONN-TH_4P-P2.00_S4B-PH-K-S-LF-SN,100.915596,-76.124911,-90.0,top
J2,Conn_1x4,CONN-TH_4P-P2.00_S4B-PH-K-S-LF-SN,124.084404,-80.930064,90.0,top
J3,Conn_1x6,CONN-TH_6P-P2.00_S6B-PH-K-S-LF-SN,100.926441,-63.250051,-90.0,top
J4,Conn_1x6,CONN-TH_6P-P2.00_S6B-PH-K-S-LF-SN,100.926441,-89.000051,-90.0,top
JP1,Jumper,PinHeader_1x03_P2.54mm_Vertical,112.5,-121.0,-90.0,top
LDO1,LDO-AMS1117-3.3,SOT-223-4_L6.5-W3.5-P2.30-LS7.0-BR,125.0,-122.5,180.0,top
R1,2k R,R_0805_2012Metric,128.47,-117.4125,90.0,top
